nace_r2,indic_sb,geo,TIME_PERIOD,OBS_VALUE
B,V11110,AL,2019,688.0
B,V11110,AL,2020,690.0
B,V11110,AT,2011,355.0
B,V11110,AT,2012,355.0
B,V11110,AT,2013,353.0
B,V11110,AT,2014,349.0
B,V11110,AT,2015,348.0
B,V11110,AT,2016,348.0
B,V11110,AT,2017,341.0
B,V11110,AT,2018,304.0
B,V11110,AT,2019,298.0
B,V11110,AT,2020,307.0
B,V11110,BA,2011,223.0
B,V11110,BA,2012,194.0
B,V11110,BA,2013,191.0
B,V11110,BA,2014,188.0
B,V11110,BA,2015,196.0
B,V11110,BA,2016,199.0
B,V11110,BA,2017,197.0
B,V11110,BA,2018,182.0
B,V11110,BA,2019,178.0
B,V11110,BA,2020,177.0
B,V11110,BE,2011,274.0
B,V11110,BE,2012,203.0
B,V11110,BE,2013,214.0
B,V11110,BE,2014,192.0
B,V11110,BE,2015,213.0
B,V11110,BE,2016,192.0
B,V11110,BE,2017,218.0
B,V11110,BE,2018,147.0
B,V11110,BE,2019,174.0
B,V11110,BE,2020,179.0
B,V11110,BG,2011,379.0
B,V11110,BG,2012,382.0
B,V11110,BG,2013,386.0
B,V11110,BG,2014,359.0
B,V11110,BG,2015,374.0
B,V11110,BG,2016,357.0
B,V11110,BG,2017,342.0
B,V11110,BG,2018,326.0
B,V11110,BG,2019,304.0
B,V11110,BG,2020,310.0
B,V11110,CH,2011,195.0
B,V11110,CH,2012,193.0
B,V11110,CH,2013,216.0
B,V11110,CH,2014,211.0
B,V11110,CH,2015,212.0
B,V11110,CH,2016,212.0
B,V11110,CH,2017,205.0
B,V11110,CH,2018,209.0
B,V11110,CH,2019,204.0
B,V11110,CH,2020,206.0
B,V11110,CY,2011,91.0
B,V11110,CY,2012,80.0
B,V11110,CY,2013,70.0
B,V11110,CY,2014,68.0
B,V11110,CY,2015,58.0
B,V11110,CY,2016,52.0
B,V11110,CY,2017,47.0
B,V11110,CY,2018,44.0
B,V11110,CY,2019,45.0
B,V11110,CY,2020,42.0
B,V11110,CZ,2011,348.0
B,V11110,CZ,2012,359.0
B,V11110,CZ,2013,363.0
B,V11110,CZ,2014,380.0
B,V11110,CZ,2015,376.0
B,V11110,CZ,2016,399.0
B,V11110,CZ,2017,403.0
B,V11110,CZ,2018,421.0
B,V11110,CZ,2019,417.0
B,V11110,CZ,2020,440.0
B,V11110,DE,2011,1767.0
B,V11110,DE,2012,1902.0
B,V11110,DE,2013,1706.0
B,V11110,DE,2014,1916.0
B,V11110,DE,2015,1813.0
B,V11110,DE,2016,1753.0
